epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.78414,2.79971,4.56486,1.43662,0,0,0,0,2.25506,4.36444,1.60753,3.333e-05,3.333e-05,3.333e-05
2,7.34604,2.72895,4.6167,1.42,0,0,0,0,2.21564,4.36599,1.5544,7.62302e-05,7.62302e-05,7.62302e-05
3,9.08654,2.87499,4.51365,1.30952,0.00014,0.00021,7e-05,2e-05,2.23233,4.30398,1.41523,0.00011737,0.00011737,0.00011737
4,11.5927,2.75798,4.04159,1.19836,0.00016,0.00021,0.00075,0.00047,2.29199,4.24126,1.28514,0.000156751,0.000156751,0.000156751
5,13.7159,2.5575,3.53108,1.14105,0.00223,0.00772,0.00164,0.00019,2.34941,4.21589,1.23371,0.000194372,0.000194372,0.000194372
6,15.3479,2.65637,3.12556,1.11513,0.01747,0.11872,0.05933,0.03083,2.41278,4.13524,1.16758,0.000230233,0.000230233,0.000230233
7,16.9462,2.73428,3.00558,1.13518,0.01974,0.18549,0.14602,0.09163,2.5028,4.0023,1.14212,0.000264334,0.000264334,0.000264334
8,18.5484,2.60049,2.57823,1.10776,0.01453,0.19424,0.18464,0.14151,2.53836,3.83075,1.12673,0.000296675,0.000296675,0.000296675
9,20.1188,2.47083,2.44087,1.09519,0.95049,0.17778,0.18528,0.13954,2.46213,3.64915,1.12042,0.000327256,0.000327256,0.000327256
10,21.743,2.51045,2.40194,1.11642,0.01604,0.23243,0.20325,0.14962,2.43749,3.51824,1.11664,0.000356078,0.000356078,0.000356078
11,23.5788,2.5694,2.39098,1.11977,0.02353,0.26583,0.22385,0.16955,2.46637,3.36403,1.12155,0.000383139,0.000383139,0.000383139
12,25.9191,2.61291,2.27674,1.11738,0.89447,0.20447,0.24175,0.18687,2.45357,3.21626,1.12309,0.000408441,0.000408441,0.000408441
13,28.0731,2.57146,2.11532,1.09918,0.90919,0.19435,0.24419,0.1919,2.43627,3.06696,1.12316,0.000431983,0.000431983,0.000431983
14,29.74,2.56069,2.10475,1.11609,0.79956,0.19886,0.24137,0.18801,2.43624,2.99272,1.11693,0.000453766,0.000453766,0.000453766
15,31.45,2.45107,2.04884,1.0581,0.87533,0.1914,0.24213,0.1913,2.43485,2.89699,1.11437,0.000473788,0.000473788,0.000473788
16,33.0849,2.4454,1.9853,1.0981,0.86005,0.20132,0.24726,0.1885,2.42668,2.81316,1.12171,0.000492051,0.000492051,0.000492051
17,35.3202,2.54337,1.94552,1.08609,0.80539,0.2071,0.25739,0.19604,2.43587,2.75716,1.11722,0.000508554,0.000508554,0.000508554
18,37.0542,2.50014,1.92886,1.0655,0.8607,0.21446,0.26996,0.19817,2.48792,2.66125,1.10124,0.000523297,0.000523297,0.000523297
19,39.5263,2.57686,1.88943,1.05288,0.86213,0.21636,0.27199,0.19562,2.48659,2.58591,1.10775,0.00053628,0.00053628,0.00053628
20,41.6562,2.53844,1.85024,1.05554,0.83986,0.21766,0.2717,0.19788,2.49147,2.49864,1.12468,0.000547503,0.000547503,0.000547503
21,43.2544,2.45261,1.88042,1.08435,0.72551,0.22258,0.28734,0.19367,2.46521,2.49453,1.09879,0.000556967,0.000556967,0.000556967
22,44.912,2.37261,1.76489,1.02801,0.72007,0.22919,0.28746,0.19913,2.46969,2.48686,1.08304,0.00056467,0.00056467,0.00056467
23,46.5499,2.45012,1.8511,1.05586,0.72177,0.24143,0.29034,0.19906,2.46833,2.43288,1.08452,0.000570614,0.000570614,0.000570614
24,48.1817,2.42146,1.79224,1.04276,0.73819,0.25196,0.30142,0.20254,2.44421,2.32874,1.08975,0.000574798,0.000574798,0.000574798
25,49.7921,2.38288,1.73157,1.03705,0.72307,0.2669,0.31178,0.20818,2.43458,2.27506,1.08765,0.000577222,0.000577222,0.000577222
26,51.6333,2.38145,1.71149,1.04052,0.70692,0.2684,0.31726,0.20393,2.44866,2.30121,1.08052,0.000561055,0.000561055,0.000561055
27,54.101,2.34977,1.74051,1.04238,0.71943,0.27193,0.32369,0.2038,2.51889,2.32175,1.08299,0.000539057,0.000539057,0.000539057
28,56.1407,2.39936,1.72419,1.02747,0.70621,0.28716,0.32531,0.20581,2.50088,2.25293,1.07416,0.000517059,0.000517059,0.000517059
29,57.7451,2.26436,1.64765,1.02173,0.68327,0.29966,0.32449,0.21837,2.44918,2.14125,1.06612,0.000495062,0.000495062,0.000495062
30,59.3871,2.25204,1.65783,1.02474,0.68231,0.31135,0.33309,0.21686,2.44872,2.07484,1.05746,0.000473064,0.000473064,0.000473064
31,61.0686,2.44269,1.67003,1.06391,0.68392,0.31978,0.32652,0.20688,2.48941,2.02829,1.06245,0.000451066,0.000451066,0.000451066
32,62.7221,2.36684,1.64266,1.03929,0.66164,0.33076,0.32618,0.21108,2.51909,1.96589,1.06582,0.000429068,0.000429068,0.000429068
33,64.3992,2.33512,1.67653,1.01669,0.6363,0.32978,0.3312,0.21516,2.50535,1.88278,1.06604,0.00040707,0.00040707,0.00040707
34,66.1961,2.36349,1.63604,1.0193,0.62634,0.35063,0.33049,0.22299,2.47937,1.81048,1.06914,0.000385073,0.000385073,0.000385073
35,68.7703,2.30167,1.5999,1.00455,0.62396,0.35639,0.33662,0.22486,2.47641,1.76852,1.07356,0.000363075,0.000363075,0.000363075
36,70.7487,2.25975,1.55876,1.00723,0.62154,0.36728,0.33817,0.22331,2.47493,1.73516,1.07641,0.000341077,0.000341077,0.000341077
37,72.3374,2.23455,1.54082,1.00816,0.61022,0.36943,0.33765,0.22403,2.47767,1.71752,1.07947,0.000319079,0.000319079,0.000319079
38,73.9818,2.28189,1.54467,1.01092,0.60301,0.36673,0.33492,0.2252,2.47019,1.70404,1.08108,0.000297081,0.000297081,0.000297081
39,75.639,2.22633,1.55193,1.00703,0.61137,0.37571,0.3446,0.22777,2.45988,1.67911,1.08279,0.000275084,0.000275084,0.000275084
40,77.272,2.26053,1.53881,1.0092,0.62118,0.3716,0.34817,0.22991,2.4288,1.63246,1.08218,0.000253086,0.000253086,0.000253086
41,82.6979,2.24546,1.56501,1.03747,0.62749,0.3738,0.3602,0.22867,2.41207,1.59263,1.08094,0.000231088,0.000231088,0.000231088
42,84.9523,2.18496,1.70408,1.0112,0.63282,0.375,0.36092,0.23182,2.39026,1.5721,1.07367,0.00020909,0.00020909,0.00020909
43,86.6865,2.2785,1.56193,1.03475,0.61996,0.38253,0.36312,0.2337,2.36918,1.55852,1.0693,0.000187092,0.000187092,0.000187092
44,88.3946,2.24655,1.57732,1.02249,0.64257,0.36644,0.36963,0.23813,2.3682,1.5481,1.07041,0.000165095,0.000165095,0.000165095
45,90.0364,2.29159,1.51928,1.01345,0.63502,0.3683,0.37366,0.23864,2.36373,1.54305,1.0658,0.000143097,0.000143097,0.000143097
46,91.6665,2.27995,1.57456,1.02201,0.64405,0.36887,0.37748,0.23897,2.37047,1.54224,1.06429,0.000121099,0.000121099,0.000121099
47,93.3237,2.2531,1.55693,1.01456,0.6379,0.36434,0.37002,0.23775,2.37862,1.54115,1.06683,9.91012e-05,9.91012e-05,9.91012e-05
48,95.481,2.26162,1.53401,1.0084,0.63508,0.36279,0.36953,0.23798,2.37742,1.53632,1.06616,7.71034e-05,7.71034e-05,7.71034e-05
49,97.7545,2.28024,1.56078,1.00758,0.63957,0.36196,0.37177,0.23753,2.37265,1.52829,1.06552,5.51056e-05,5.51056e-05,5.51056e-05
50,99.4275,2.25955,1.55877,1.00451,0.64052,0.36409,0.37229,0.23863,2.36642,1.51775,1.06465,3.31078e-05,3.31078e-05,3.31078e-05
